Régions;2015;2016
Boucle du Mouhoun;5;5
Cascades;3;3
Centre;7;7
Centre-Est;3;3
Centre-Nord;3;3
Centre-Ouest;4;4
Centre-Sud;1;1
Est;3;3
Hauts-Bassins;6;6
Nord;3;3
Plateau Central;1;1
Sahel;2;2
Sud-Ouest;5;5
Burkina Faso;46;46
